"Target","Ridom Usage","Ridom Exclusion Reason","location","gene","product","protein_id","note"
"Rv1006","MLST+","-","1123714..1125417",,"hypothetical protein","NP_215522.1","Rv1006, (MTCI237.23), len: 567 aa. Unknown protein. Predicted to be an outer membrane protein (See Song et al.,2008)."
"Rv1007c","MLST+","-","1125444..1127003","metS","Methionyl-tRNA synthetase MetS (MetRS) (methionine--tRNA ligase)","NP_215523.1","Rv1007c, (MTCI237.24), len: 519 aa. metS (MetG),methionyl-tRNA synthetase, similar to many e.g. SYM_BACSU|P37465 methionyl-tRNA synthetase from Bacillus subtilus (664 aa), FASTA scores: opt: 1506, E(): 0, (44.9% identity in 492 aa overlap); similar to other Mycobacterium tuberculosis tRNA synthases e.g. Rv2448c, Rv1536, Rv0041. Contains PS00178 Aminoacyl-transfer RNA synthetases class-I signature. Belongs to class-I aminoacyl-tRNA synthetase family. Strong, to cysteinyl-tRNA synthetase."
"Rv1008","MLST+","-","1127089..1127883","tatD","Probable deoxyribonuclease TatD (YJJV protein)","NP_215524.1","Rv1008, (MTCI237.25), len: 264 aa. Probable tatD (alternate gene name: yjjV), deoxyribonuclease, component of twin arginine translocation protein export system (see citations below). Similar to many members of the YBL055C/YJJV family e.g. YCFH_ECOLI|P37346 Putative deoxyribonuclease ycfH (265 aa), fasta scores: opt: 487,E(): 1.4e-24, (36.7% identity in 270 aa overlap). Also similar to P37545|YABD_BACSU Putative deoxyribonuclease yabD (255 aa), FASTA scores: opt: 599, E(): 7.7e-33, (40.1% identity in 262 aa overlap). Contains PS01137 Hypothetical YBL055c/yjjV family signature 1, and PS01091 Hypothetical YBL055c/yjjV family signature 3."
"Rv1009","MLST+","-","1128091..1129179","rpfB","Probable resuscitation-promoting factor RpfB","NP_215525.1","Rv1009, (MTCI237.26), len: 362 aa. Probable rpfB,resuscitation-promoting factor (see citation below),similar to others from Mycobacterium tuberculosis: Rv2450c|MTV008.06c|RPFE probable resuscitation-promoting factor (172 aa), FASTA scores: E(): 1.9e-19, (42.9% identity in 147 aa overlap); Rv0867c|RPFA, Rv1884c|RPFC,and Rv2389c|RPFD. Possible lipoprotein; contains PS00013 Prokaryotic membrane lipoprotein lipid attachment site. Interacts with RipA (see Hett et al., 2007). Predicted possible vaccine candidate (See Zvi et al., 2008)."
"Rv1010","Accessory","Gene Rv1010 overlaps Rv1009 at 28 bases.","1129152..1130105","ksgA","Probable dimethyladenosine transferase KsgA (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase) (16S rRNA dimethylase) (high level kasugamycin resistance protein KsgA) (kasugamycin dimethyltransferase)","NP_215526.1","Rv1010, (MTCI237.27), len: 317 aa. Probable ksgA,dimethyladenosine transferase, similar to many e.g. KSGA_BACSU|P37468 dimethyladenosine transferase from Bacillus subtilus (292 aa), FASTA scores: opt: 524, E(): 1.5e-28, (37.2% identity in 274 aa overlap); similar to Mycobacterium tuberculosis hypothetical protein Rv1988. Contains PS01131 Ribosomal RNA adenine dimethylases signature."
"Rv1011","MLST+","-","1130191..1131111","ispE","Probable 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase IspE (CMK) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)","NP_215527.1","Rv1011, (MTCI237.28, MT1040), len: 306 aa. Probable ispE, 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase ,similar to others e.g. Q9K3R6|ISPE_STRCO Streptomyces coelicolor (299 aa), FASTA scores: opt: 925, E(): 2.7e-49,(54.5% identity in 297 overlap); etc. Belongs to the ISPE family."
"Rv1012","MLST+","-","1131128..1131421",,"Hypothetical protein","NP_215528.1","Rv1012, (MTCI237.29), len: 97 aa. Hypothetical unknown protein."
"Rv1013","MLST+","-","1131625..1133259","pks16","Putative polyketide synthase Pks16","NP_215529.1","Rv1013, (MTCI237.30-MTCY10G2.36c), len: 544 aa. Putative pks16, polyketide synthase, similar to many e.g. N-terminus of Q50857|U24657 saframycin MX1 synthetase B (1770 aa), FASTA scores: opt: 526, E(): 1.4e-25, (29.3% identity in 542 aa overlap); etc. Contains PS00455 Putative AMP-binding domain signature. Belongs to the ATP-dependent AMP-binding enzyme family."
"Rv1014c","MLST+","-","1133333..1133908","pth","Probable peptidyl-tRNA hydrolase Pth","NP_215530.1","Rv1014c, (MTCY10G2.35), len: 191 aa. Probable pth,peptidyl-tRNA hydrolase, similar to PTH_ECOLI|P23932 peptidy l-trna hydrolase from Escherichia coli (194 aa),FASTA scores: opt: 472, E(): 2.3e-25, (39.6% identity in 187 aa overlap). Belongs to the PTH family."
"Rv1015c","MLST+","-","1133921..1134568","rplY","50S ribosomal protein L25 RplY","NP_215531.1","Rv1015c, (MTCY10G2.34), len: 215 aa. rplY, 50s ribosomal protein L25, similar to RL25_ECOLI|P02426 50s ribosomal protein L25 from Escherichia coli (94 aa), FASTA scores: opt: 182, E(): 2.5e-05, (38.4% identity in 86 aa overlap) and to CTC_BACSU|P14194 general stress protein from Bacillus subtilis (203 aa), FASTA scores: opt: 260,E(): 1.4e-09, (28.4% identity in 201 aa overlap). Belongs to the L25P family of ribosomal proteins."
"Rv1016c","MLST+","-","1134785..1135465","lpqT","Probable conserved lipoprotein LpqT","NP_215532.1","Rv1016c, (MTCY10G2.33), len: 226 aa. Probable lpqT,conserved lipoprotein. Similar to several Mycobacterium tuberculosis hypothetical proteins e.g. Rv0040c|Y0H3_MYCTU|P71697 Proline rich 28 kDA antigen (310 aa), FASTA scores: opt: 329, E(): 2e-17, (32.3% identity in 229 aa overlap); Rv0583c. Contains PS00013 Prokaryotic membrane lipoprotein lipid attachment site. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."
"Rv1017c","MLST+","-","1135501..1136481","prsA","Probable ribose-phosphate pyrophosphokinase PrsA (phosphoribosyl pyrophosphate synthetase) (PRPP synthetase)","NP_215533.1","Rv1017c, (MTCY10G2.32), len: 326 aa. Probable prsA,ribose-phosphate pyrophosphokinase, highly similar to others e.g. KPRS_ECOLI|P08330 ribose-phosphate pyrophosphokinase from Escherichia coli (314 aa), FASTA scores: opt: 826, E(): 0, (43.8% identity in 317 aa overlap). Contains PS00103 Purine/pyrimidine phosphoribosyl transferases signature; contains PS00144 Asparaginase / glutaminase active site signature 1. Belongs to the ribose-phosphate pyrophosphokinase family. Cofactor: both inorganic phosphate and magnesium ion are required for enzyme stability and activity (by similarity)."
"Rv1018c","MLST+","-","1136573..1138060","glmU","Probable UDP-N-acetylglucosamine pyrophosphorylase GlmU","NP_215534.1","Rv1018c, (MTCY10G2.31), len: 495 aa. Probable glmU,UDP-n-acetylglucosamine pyrophosphorylase, similar to GCAD_BACSU|P14192 UDP-n-acetylglucosamine pyrophosphorylase (456 aa), FASTA scores: opt: 1150, E(): 0, (40.0% identity in 453 aa overlap). Similar to various Mycobacterium tuberculosis sugar-phosphate transferases e.g. Rv0334,Rv1213, Rv3264c, etc."
"Rv1019","MLST+","-","1138315..1138908",,"Probable transcriptional regulatory protein (probably TetR-family)","NP_215535.1","Rv1019, (MTCY10G2.30c), len: 197 aa. Probable transcriptional regulator, similar to many memebers of the TetR family e.g. MTCY7D11.18c (34.4% identity in 189 aa overlap). Helix turn helix motif from aa 27-48 (+5.42 SD)."
"Rv1020","MLST+","-","1138967..1142671","mfd","Probable transcription-repair coupling factor Mfd (TRCF)","NP_215536.1","Rv1020, (MTCY10G2.29c), len: 1234 aa. Probable mfd (alternate gene name: trcF), transcription-repair coupling factor (see citation below), similar to many e.g. MFD_ECOLI|P30958 transcription-repair coupling factor from Escherichia coli (1148 aa), FASTA scores: opt: 1900, E(): 0, (37.9% identity in 1107 aa overlap); similar to M. tuberculosis Rv2973c and Rv1633. Contains PS00017 ATP/GTP-binding site motif A (P-loop). In the N-terminal section; belongs to the UVRB family. In the C-terminal section; belongs to the helicase family. RECG subfamily."
"Rv1021","MLST+","-","1142671..1143648",,"hypothetical protein","NP_215537.1","Rv1021, (MTCY10G2.28c), len: 325 aa. Conserved protein, similar to YBL1_STRCI|P33653 hypothetical 26.1 kDa protein from Streptomyces cacaoi (242 aa), FASTA scores: opt: 493, E(): 1.1e-23, (42.9% identity in 238 aa overlap)."
"Rv1022","MLST+","-","1143736..1144467","lpqU","Probable conserved lipoprotein LpqU","NP_215538.1","Rv1022, (MTCY10G2.27c), len: 243 aa. Probable lpqU conserved lipoprotein. Similar to Mycobacterium tuberculosis hypothetical protein Rv1230c|MTV006.02C, FASTA scores: E(): 2.8e-18, (37.9% identity in 240 aa overlap). Similar to AL133423|SC4A7.37 hypothetical protein from Streptomyces coelicolor (421 aa), FASTA scores: opt: 474,E(): 2.7e-21, (42.2% identity in 211 aa overlap). Contains PS00013 Prokaryotic membrane lipoprotein lipid attachment site."
"Rv1023","MLST+","-","1144564..1145853","eno","Probable enolase Eno","NP_215539.1","Rv1023, (MTCY10G2.26c), len: 429 aa. Probable eno,enolase, highly similar to others e.g. ENO_ECOLI|P08324 enolase from Escherichia coli (431 aa), FASTA scores: opt: 1487, E(): 0, (55.5% identity in 422 aa overlap); etc. Magnesium is required for catalysis and for stabilizing the dimer. Belongs to the enolase family."
"Rv1024","MLST+","-","1145858..1146544",,"Possible conserved membrane protein","NP_215540.1","Rv1024, (MTCY10G2.25c), len: 228 aa. Possible conserved membrane protein, with a hydrophobic region from aa 83-101. Equivalent to ML0256|NP_301311.1|NC_002677 possible conserved membrane protein from Mycobacterium leprae (227 aa), S&W scores: 178, E()= 2e-72, Identities: 145/203 (71%). A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."
"Rv1025","Accessory","Gene Rv1025 overlaps Rv1026 at 10 bases.","1146561..1147028",,"hypothetical protein","NP_215541.1","Rv1025, (MTCY10G2.24c), len: 155 aa. Conserved protein, similar to hypothetical protein AE001768|AE001768_4 Thermotoga maritima (170 aa) FASTA scores: opt: 254, E(): 9.5e-10, (35.7% identity in 143 aa overlap)."
"Rv1026","MLST+","-","1147019..1147978",,"hypothetical protein","NP_215542.1","Rv1026, (MTCY10G2.23c), len: 319 aa. Conserved protein. Similar to GPPA_ECOLI|P25552 guanosine-5'-triphosphate,3'-diphosphate pyrophoshatase from Escherichia coli (494 aa), FASTA scores: opt: 281,E(): 3.2e-11, (30.6% identity in 291 aa overlap). Equivalent to AL023514|MLCB4.02 hypothetical protein from Mycobacterium leprae (317 aa) (77.9% identity in 321 aa overlap)."
"Rv1027c","MLST+","-","1148427..1149107","kdpE","Probable transcriptional regulatory protein KdpE","NP_215543.1","Rv1027c, (MTCY10G2.22), len: 226 aa. Probable KdpE,transcriptional regulatory protein, similar to others e.g. KDPE_ECOLI|P21866 kdp operon transcriptional regulatory protein from Escherichia coli strain K12 (225 aa), FASTA scores: opt: 691, E(): 0, (47.8% identity in 224 aa overlap); AL021530|SC2E9.13 from Streptomyces coelicolor (227 aa), FASTA scores: opt: 981, E(): 0, (66.4% identity in 226 aa overlap); etc."
"Rv1028A","MLST+","-","1151920..1152012","kdpF","Probable membrane protein KdpF","YP_177636.1","Rv1028A, len: 30 aa. Probable kdpF, membrane protein, showing similarity with P36937|KDPF_ECOLI|B0698.1 protein KDPF from Escherichia coli strain K12 (see citation below) (27% identity); and KdpF protein from Streptomyces coelicolor (51% identity)."
"Rv1028c","MLST+","-","1149104..1151686","kdpD","Probable sensor protein KdpD","NP_215544.1","Rv1028c, (MTCY10G2.21), len: 860 aa. Probable kdpD,sensor protein, similar to others e.g. KDPD_ECOLI|P21865 sensor protein from Escherichia coli strain K12 (894 aa),FASTA scores: opt: 1041, E(): 0, (32.3% identity in 888 aa overlap); etc. Contains PS00017 ATP/GTP-binding site motif A (P-loop). Belongs to universal stress protein family."
"Rv1029","MLST+","-","1152012..1153727","kdpA","Probable potassium-transporting ATPase a chain KdpA (potassium-translocating ATPase a chain) (ATP phosphohydrolase [potassium-transporting] a chain) (potassium binding and translocating subunit A)","NP_215545.1","Rv1029, (MTCY10G2.20c), len: 571 aa. Probable kdpA,potassium-transporting ATPase a chain (transmembrane protein), similar to others e.g. ATKA_ECOLI|P03959|KDPA|B0698 potassium-transporting ATPase A chain from Escherichia coli strain K12 (557 aa), FASTA scores: opt: 1763, E(): 0, (50.4% identity in 569 aa overlap); etc. Belongs to the KdpA family."
"Rv1030","MLST+","-","1153724..1155853","kdpB","Probable potassium-transporting P-type ATPase B chain KdpB (potassium-translocating ATPase B chain) (ATP phosphohydrolase [potassium-transporting] B chain) (potassium binding and translocating subunit B)","NP_215546.1","Rv1030, (MTCY10G2.19c), len: 709 aa. Probable kdpB,potassium-transporting P-type ATPase B chain (transmembrane protein), similar to others e.g. ATKB_ECOLI|P03960 potassium-transporting ATPase B chain from Escherichia coli strain K12 (682 aa), FASTA scores: opt: 1481, E(): 0,(63.4% identity in 686 aa overlap); etc. Very similar to AL078610|SCH35.47 H+/K+-exchanging ATPase chain B from Streptomyces coelicolor (707 aa), FASTA scores: opt: 2731,E(): 0, (71.6% identity in 676 aa overlap). Contains PS00154 E1-E2 ATPases phosphorylation site."
"Rv1031","MLST+","-","1155853..1156422","kdpC","Probable potassium-transporting ATPase C chain KdpC (potassium-translocating ATPase C chain) (ATP phosphohydrolase [potassium-transporting] C chain) (potassium binding and translocating subunit C)","NP_215547.1","Rv1031, (MTCY10G2.18c), len: 189 aa. Probable kdpC,potassium-transporting ATPase C chain (membrane protein) ,similar to others e.g. ATKC_ECOLI|P03961 potassium-transporting ATPase C chain from Escherichia coli strain K12 (190 aa), FASTA scores: opt: 475, E(): 3.1e-24,(45.7% identity in 186 aa overlap); etc. Belongs to the KdpC family."
"Rv1032c","MLST+","-","1156426..1157955","trcS","Two component sensor histidine kinase TrcS","NP_215548.1","Rv1032c, (MTCY10G2.17), len: 509 aa. TrcS, two component sensor histidine kinase protein (see citations below), similar to YV16_MYCLE|P54883 probable sensor-like histidine kinase from Mycobacterium leprae (443 aa), FASTA scores: opt: 392, E(): 3.8e-18, (31.7% identity in 334 aa overlap). Note that in vitro autophosphorylation of TrcS requires the presence of Mn2+ or Ca2+ as a divalent cation cofactor and subsequent transphosphorylation of TrcR is evident in the presence of TrcS-phosphate and Ca2+."
"Rv1033c","MLST+","-","1157963..1158736","trcR","Two component transcriptional regulator TrcR","NP_215549.1","Rv1033c, (MTCY10G2.16), len: 257 aa. TrcR,two-component regulatory protein (see citations below),similar to Q50825 two component response regulator from Mycobacterium tuberculosis (234 aa), FASTA scores: opt: 628, E(): 0, (46.0% identity in 226 aa overlap). Note that in vitro autophosphorylation of TrcS requires the presence of Mn2+or Ca2+as a divalent cation cofactor and subsequent transphosphorylation of TrcR is evident in the presence of TrcS-phosphate and Ca2+."
"Rv1034c","not used","Excluded in Comas 2010","1158918..1159307",,"Probable transposase (fragment)","NP_215550.1","Rv1034c, (MTCY10G2.15), len: 129 aa. Probable IS1560 transposase fragment, similar to part of Rv3387|E1202305|MTV004.45 (225 aa) (65.1% identity in 129 aa overlap)."
"Rv1035c","not used","Excluded in Comas 2010","1159375..1160061",,"Probable transposase (fragment)","NP_215551.1","Rv1035c, (MTCY10G2.14), len: 228 aa. Probable IS1560 transposase fragment, similar to parts of Rv3387|E1202305|MTV004.45 (225 aa) (47.8% identity in 67 aa overlap) and Rv3386|E1202304|MTV004.44 (234 aa) (55.1% identity in 127 aa overlap)."
"Rv1036c","not used","Excluded in Comas 2010","1160095..1160433",,"Probable IS1560 transposase (fragment)","NP_215552.1","Rv1036c, (MTCY10G2.13), len: 112 aa. Probable IS1560 transposase fragment, similar to part of Rv3386|E1202304|MTV004.44 (234 aa) (82.8% identity in 87 aa overlap)."
"Rv1037c","not used","Found close-matching copy (length 284, identity 100.0) in Rv3619c.","1160544..1160828","esxI","Putative ESAT-6 like protein EsxI (ESAT-6 like protein 1)","NP_215553.1","Rv1037c, (MTCY10G2.12), len: 94 aa. EsxI, ESAT-6 like protein (see citations below), highly similar to Q49946|ES6X_MYCLE|U1756D putative ESAT-6 like protein X from Mycobacterium leprae (95 aa), FASTA scores: opt: 409,E(): 6.3e-23, (64.15% identity in 92 aa overlap); Rv3619c,Rv1198, Rv2346c, etc from Mycobacterium tuberculosis. Strictly identical to P96364|ES61_MYCTU|Rv3619c|MTCY15C10.33|MTCY07H7B.03|MT3721 putative ESAT-6 like protein 1 (94 aa). Belongs to the ESAT6 family."
"Rv1038c","not used","Found close-matching copy (length 296, identity 98.9899) in Rv3620c.","1160855..1161151","esxJ","ESAT-6 like protein EsxJ (ESAT-6 like protein 2)","NP_215554.1","Rv1038c, (MT1067, MTCY10G2.11), len: 98 aa. EsxJ,ESAT-6 like protein (see Gey Van Pittius et al., 2001),similar to Q49945|U1756C, Mycobacterium leprae (100 aa),FASTA scores: opt: 375, E(): 7.7e-21, (58.3% identity in 96 aa overlap). Member of M. tuberculosis hypothetical QILSS protein family with Rv1197, Rv1792, Rv2347c and Rv3620c. Belongs to the ESAT6 family."
"Rv1039c","not used","Excluded in Comas 2010","1161297..1162472","PPE15","PPE family protein PPE15","YP_177778.1","Rv1039c, (MTCY10G2.10), len: 391 aa. PPE15, Member of the Mycobacterium tuberculosis PPE family of glycine-rich proteins, most similar to Rv2768c|AL008967|MTV002_33 Mycobacterium tuberculosis H37Rv (394 aa), FASTA scores: opt: 1721, E(): 0, (70.4% identity in 398 aa overlap)."
"Rv1040c","not used","Excluded in Comas 2010","1162549..1163376","PE8","PE family protein PE8","YP_177779.1","Rv1040c, (MTCY10G2.09), len: 275 aa. PE8, Member of the Mycobacterium tuberculosis PE family (see citation below), most similar to AL008967|MTV002_34 Mycobacterium tuberculosis H37Rv (275 aa), FASTA scores: opt: 1111, E(): 0, (68.6% identity in 283 aa overlap). This region is a possible MT-complex-specific genomic island (See Becq et al., 2007)."
"Rv1041c","not used","Found close-matching copy (length 863, identity 100.0) in [1277957..1278820].","1164572..1165435",,"Probable is like-2 transposase","NP_215557.1","Rv1041c, (MTCY10G2.08), len: 287 aa. Probable is like-2 transposase, overlaps MTCY10G2.07. Similar to Q00430|X53945 insertion element IS869 hypothetical protein from Agrobacterium tumefaciens (186 aa), FASTA scores: opt: 173, E(): 0.00016, (40.9% identity in 176 aa overlap). Similar to Rv1150, C-terminal part of transposase of putative Mycobacterium tuberculosis is like-1. MTCY10G2.07 and MTCY10G2.08 are frameshifted with respect to Mycobacterium tuberculosis Q50761 transposase, the 10G2 cosmid sequence appears to be correct. This region is a possible MT-complex-specific genomic island (See Becq et al., 2007)."
"Rv1042c","not used","Found close-matching copy (length 407, identity 100.0) in Rv1149.","1165092..1165499",,"Probable is like-2 transposase","NP_215558.1","Rv1042c, (MTCY10G2.07), len: 135 aa. Probable is like-2 transposase, similar to Q50761 transposase from Mycobacterium tuberculosis (308 aa), FASTA scores: opt: 823, E(): 0, (99.1% identity in 117 aa overlap). Second copy is Rv1149. This region is a possible MT-complex-specific genomic island (See Becq et al.,2007)."
"Rv1043c","MLST+","-","1165781..1166806",,"hypothetical protein","NP_215559.1","Rv1043c, (MTCY10G2.06), len: 341 aa. Conserved hypothetical protein similar to AL096872|SC5F7.08 putative lipoate-protein ligase from Streptomyces coelicolor (362 aa), FASTA scores: opt: 206, E(): 1.4e-05, (30.3% identity in 201 aa overlap). Weak similarity to P39668|YYXA_BACSU hypothetical protease from Bacillus subtitis (400 aa),FASTA scores: opt: 159, E(): 0.013, (27.1% identity in 210 aa overlap). This region is a possible MT-complex-specific genomic island (See Becq et al., 2007)."
"Rv1044","MLST+","-","1167053..1167676",,"hypothetical protein","NP_215560.1","Rv1044, (MTCY10G2.05c), len: 207 aa. Conserved hypothetical protein, similar to Mycobacterium tuberculosis hypothetical protein MTCY06G11.02C|P96837 (289 aa), fasta scores: E(): 8.9e-06, (30.7% identity in 150 aa overlap). Some similarity to U36837|LLU36837_1 Lactococcus lactis plasmid pNP40 (287 aa), FASTA scores: opt: 147, E (): 0.0087, (29.7% identity in 91 aa overlap). This region is a possible MT-complex-specific genomic island (See Becq et al., 2007)."
"Rv1045","MLST+","-","1167673..1168554",,"Hypothetical protein","NP_215561.1","Rv1045, (MTCY10G2.04c), len: 293 aa. Hypothetical unknown protein. This region is a possible MT-complex-specific genomic island (See Becq et al.,2007)."
"Rv1046c","Accessory","Too many query genomes with stop codon: 6","1168704..1169228",,"Hypothetical protein","NP_215562.2","Rv1046c, (MTCY10G2.03), len: 174 aa. Hypothetical unknown protein. Start changed since first submission (-65 aa). This region is a possible MT-complex-specific genomic island (See Becq et al., 2007)."
"Rv1047","not used","Found close-matching copy (length 1247, identity 100.0) in Rv3023c.","1169423..1170670",,"Probable transposase","NP_215563.1","Rv1047, (MTCY10G2.02c), len: 415 aa. IS1081 transposase, most similar to TRA1_MYCBO|P35882 transposase for insertion sequence element (415 aa), FASTA scores: opt: 2675, E(): 0, (99.8% identity in 415 aa overlap). Contains PS01007 Transposases, Mutator family, signature. This region is a possible MT-complex-specific genomic island (See Becq et al., 2007)."
"Rv1048c","MLST+","-","1171038..1172153",,"Hypothetical protein","NP_215564.1","Rv1048c, (MTV017.01c-MTCY10G2.01), len: 371 aa. Hypothetical unknown protein. This region is a possible MT-complex-specific genomic island (See Becq et al.,2007)."
"Rv1049","MLST+","-","1172386..1172832",,"Probable transcriptional repressor protein","NP_215565.1","Rv1049, (MTV017.02), len: 148 aa. Probable transcriptional repressor protein, similar to many e.g. P74870 negative regulator of EMR locus EMR from Salmonella typhimurium (149 aa), FASTA scores: opt: 146, E(): 0.0011,(31.6% identity in 95 aa overlap). Contains probable helix-turn-helix motif at aa 58-79 (Score 1495, +4.28 SD). This region is a possible MT-complex-specific genomic island (See Becq et al., 2007)."
"Rv1050","MLST+","-","1172881..1173786",,"Probable oxidoreductase","NP_215566.1","Rv1050, (MTV017.03), len: 301 aa. Probable oxidoreductase similar to many e.g. Rv1543|MTCY48.22C|Q10783 putative oxidoreductase CY48.22C (341 aa), FASTA scores: opt: 462, E(): 3e-22, (33.6% identity in 265 aa overlap). This region is a possible MT-complex-specific genomic island (See Becq et al.,2007)."
"Rv1051c","MLST+","-","1173945..1174700",,"hypothetical protein","NP_215567.1","Rv1051c, (MTV017.04c), len: 251 aa. Conserved hypothetical protein, similar to LLU36837|U36837.1 protein encoded by Lactococcus lactis plasmid pNP40 (298 aa), FASTA scores: opt: 194, E(): 3.5e-06, (30.3% identity in 155 aa overlap). Contains possible helix-turn-helix motif at aa 197-218 (Score 1097, +2.92 SD). This region is a possible MT-complex-specific genomic island (See Becq et al.,2007)."
"Rv1052","MLST+","-","1175723..1176112",,"Hypothetical protein","NP_215568.1","Rv1052, (MTV017.05), len: 129 aa. Hypothetical unknown protein. This region is a possible MT-complex-specific genomic island (See Becq et al.,2007)."
"Rv1053c","Accessory","Gene Rv1053c overlaps Rv1052 at 102 bases.","1176011..1176286",,"Hypothetical protein","NP_215569.1","Rv1053c, (MTV017.06c), len: 91 aa. Hypothetical unknown protein. This region is a possible MT-complex-specific genomic island (See Becq et al.,2007)."
"Rv1054","not used","Excluded in Comas 2010","1176928..1177242",,"Probable integrase (fragment)","NP_215570.2","Rv1054, (MTV017.07), len: 104 aa. Probable integrase (fragment), similar to Rv2309c|MTCY3G12_25|Z79702 hypothetical protein (shows similarity to integrases) from Mycobacterium tuberculosis (151 aa), FASTA scores: opt: 273, E(): 8.8e-13, (64.7% identity in 68 aa overlap); and to L39071|MSGINT_1 integrase from Mycobacterium paratuberculosis (191 aa), FASTA scores: opt: 105, E(): 0.9, (31.8% identity in 85 aaoverlap). This ORF continues in another frame as Rv1055|MTV017.08 but no error can be found to account for frameshift. Length extended since first submission (+36 aa). This region is a possible MT-complex-specific genomic island (See Becq et al.,2007)."
"Rv1055","MLST+","-","1177239..1177373",,"Possible integrase (fragment)","NP_215571.2","Rv1055, (MTV017.08), len: 44 aa. Possible integrase (fragment); first 49 aa similar to Rv2309c|MTCY3G12_25|Z79702 hypothetical protein (shows similarity to integrases) from Mycobacterium tuberculosis (151 aa), FASTA scores: opt: 291, E(): 2.2e-16, (74.3% identity in 70 aa overlap); and to L39071|MSGINT_1 integrase from Mycobacterium paratuberculosis (191 aa),FASTA scores: opt: 146, E(): 8.3e-05, (52.1% identity in 48 aa overlap); and to many other integrases or transposases. Shortened since first submission (-34 aa). This region is a possible MT-complex-specific genomic island (See Becq et al., 2007)."
"Rv1056","MLST+","-","1177628..1178392",,"hypothetical protein","NP_215572.1","Rv1056, (MTV017.09), len: 254 aa. Conserved protein,some similarity in C-terminal region of Rv0140|MTCI5.14|Z92770 Mycobacterium tuberculosis (126 aa),FASTA scores: opt: 254, E(): 1.2e-10, (43.4% identity in 106 aa overlap); and to Rv1670. C-terminal region is similar to AL035569|SC8D9.02 hypothetical protein from Streptomyces coelicolor (113 aa), FASTA scores: opt: 282,E(): 4.5e-12, (48.0% identity in 100 aa overlap)."
"Rv1057","MLST+","-","1179396..1180577",,"hypothetical protein","NP_215573.1","Rv1057, (MTV017.10), len: 393 aa. Conserved hypothetical protein, some similarity to X84710|MMSAG_1 surface antigen of Methanosarcina mazeii (491 aa), FASTA scores: opt: 363, E():6.2e-15, (31.3% identity in 294 aa overlap). Regulated by MprA (Rv0981) under physiological conditions and environmental stress (SDS and Triton X-100) (See He et al., 2006)."
"Rv1058","MLST+","-","1180684..1182315","fadD14","Probable medium chain fatty-acid-CoA ligase FadD14 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)","NP_215574.1","Rv1058, (MTV017.11), len: 543 aa. Probable fadD14,medium-chain fatty-acid-CoA synthetase, highly similar to many e.g. CAC32346.1|AL583945 putative fatty acid CoA ligase from Streptomyces coelicolor (558 aa); N-terminus of NP_419738.1|NC_002696 medium-chain-fatty-acid--CoA ligase from Caulobacter crescentus (1006 aa); Q00594|ALKK_PSEOL medium-chain-fatty-acid--CoA ligase from Pseudomonas oleovorans (546 aa), FASTA scores: opt: 1468, E(): 0,(41.1% identity in 538 aa overlap); etc. Contains PS00455 Putative AMP-binding domain signature. Belongs to the ATP-dependent AMP-binding enzyme family."
"Rv1059","MLST+","-","1182391..1183455",,"hypothetical protein","NP_215575.1","Rv1059, (MTV017.12), len: 354 aa. Conserved protein,similar to Rv0926c|MTCY21C12.20c hypothetical protein from Mycobacterium tuberculosis (358 aa), FASTA scores: opt: 338, E(): 1.4e-14, (33.1% identity in 363 aa overlap)."
"Rv1060","MLST+","-","1183508..1183981",,"hypothetical protein","NP_215576.1","Rv1060, (MTV017.13), len: 157 aa. Unknown protein."
"Rv1061","MLST+","-","1184015..1184878",,"hypothetical protein","NP_215577.1","Rv1061, (MTV017.14), len: 287 aa. Conserved protein,similar to hypothetical proteins from various bacteria e.g. D64002|SYCSLRD_75 Synechocystis sp. PCC6803 (304 aa),FASTA scores: opt: 245, E():1.2e-09, (27.1% identity in 258 aa overlap)."
"Rv1062","MLST+","-","1184883..1185740",,"hypothetical protein","NP_215578.1","Rv1062, (MTV017.15), len: 285 aa. Conserved hypothetical protein, some similarity to AL079356|SC6G9_10 hypothetical protein in Streptomyces coelicolor (289 aa),FASTA scores: opt: 556, E(): 1.2e-27, (39.0% identity in 287 aa overlap), and Z99111|BSUB0008_176 Bacillus subtilis (260aa), FASTA scores: opt: 163, E(): 0.0013, (27.4% identity in 179aa overlap)."
"Rv1063c","MLST+","-","1185741..1186823",,"hypothetical protein","NP_215579.1","Rv1063c, (MTV017.16c), len: 360 aa. Conserved hypothetical protein, similar to P37053|YCHK_ECOLI hypothetical protein from Escherichia coli (314 aa), FASTA scores: opt: 487, E(): 7.2e-23, (32.7% identity in 321 aa overlap). Also partially similar to Rv3239c|MTCY20B11.14c. Belongs to the UPF0028 (SWS) family."
